
Date;Amount;Category;Subcategory;Payment Method;Description;Ref/Check No;Payee/Payer;Status;Receipt Picture;Account;Tag;Tax;Quantity;Split Total;Row Id;Type Id
2014-05-30;-16150.0;Sport;Bicycle;Cash;велик + замок;;;Uncleared;;Personal Expense;;;1 PCS;;1;
2014-07-15;3000.0;Excursion;;Cash;Excursion from “Pansionat“;;;Uncleared;;Personal Expense;;;1 PCS;;2;
2014-07-23;-300.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;3;
2014-07-23;-200.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;4;
2014-07-24;-62.0;Travel;Bus;Cash;Пущино - Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;5;
2014-07-24;-1000.0;Entertainment;Cafe;Cash;Pazzo;;;Uncleared;;Personal Expense;;;1 PCS;;6;
2014-07-24;3000.0;Advance Payment;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;7;
2014-07-24;-2757.0;Sport;Tourism;Cash;палатка и два спальника;;;Uncleared;;Personal Expense;;;1 PCS;;8;
2014-07-24;-26.0;Travel;Bus;Cash;Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;9;
2014-07-24;-66.0;Travel;Bus;Cash;Серпухов - Пущино;;;Uncleared;;Personal Expense;;;1 PCS;;10;
2014-07-24;-498.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;11;
2014-07-25;1000.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;12;
2014-07-25;-210.0;Travel;Bus;Cash;пущино москва;;;Uncleared;;Personal Expense;;;1 PCS;;13;
2014-07-25;-100.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;14;
2014-07-25;-890.0;Shopping;Cleaning Products;Cash;карандаш и спрей для оптики;;;Uncleared;;Personal Expense;;;1 PCS;;15;
2014-07-25;-448.0;Entertainment;Cafe;Cash;wokker;;;Uncleared;;Personal Expense;;;1 PCS;;16;
2014-07-26;-88.0;Travel;Train;Cash;Москва - Домодедово;;;Uncleared;;Personal Expense;;;1 PCS;;17;
2014-07-26;-50.0;Travel;Train;Cash;домодедово - москва;;;Uncleared;;Personal Expense;;;1 PCS;;18;
2014-07-26;-41.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;19;
2014-07-26;-53.0;Travel;Train;Cash;москва - железнодорожный;;;Uncleared;;Personal Expense;;;1 PCS;;20;
2014-07-26;-100.0;Travel;Train;Cash;железнодорожный - москва;;;Uncleared;;Personal Expense;;;1 PCS;;21;
2014-07-26;-40.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;22;
2014-07-27;-750.0;Entertainment;Bar;Cash;кризис жанра;;;Uncleared;;Personal Expense;;;1 PCS;;23;
2014-07-27;-210.0;Travel;Bus;Cash;москва - пущино;;;Uncleared;;Personal Expense;;;1 PCS;;24;
2014-07-27;-9595.0;Household;Rent;Cash;аренда+комиссия;;;Uncleared;;Personal Expense;;;1 PCS;;25;
2014-07-27;-115.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;26;
2014-07-29;-200.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;27;
2014-07-29;-245.0;Other;;Cash;кот;;;Uncleared;;Personal Expense;;;1 PCS;;28;
2014-07-29;-1120.0;Shopping;Home;Cash;постельное;;;Uncleared;;Personal Expense;;;1 PCS;;29;
2014-07-29;-120.0;Shopping;Other;Cash;рамка для фото;;;Uncleared;;Personal Expense;;;1 PCS;;30;
2014-07-30;-55.0;Health Care;Other;Cash;бинты;;;Uncleared;;Personal Expense;;;1 PCS;;31;
2014-07-30;-900.0;Entertainment;Party;Cash;шашлыки;;;Uncleared;;Personal Expense;;;1 PCS;;32;
2014-08-01;-276.0;Other;;Cash;кот;;;Uncleared;;Personal Expense;;;1 PCS;;33;
2014-08-01;-161.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;34;
2014-08-03;500.0;Different Resources;;Cash;форсайт;;;Uncleared;;Personal Expense;;;1 PCS;;35;
2014-08-06;-385.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;36;
2014-08-06;-157.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;37;
2014-08-06;7294.0;Grands;;Cash;Оклад;;;Uncleared;;Personal Expense;;;1 PCS;;38;
2014-08-06;5000.0;Grands;;Cash;РФФИ 14#02#31811;;;Uncleared;;Personal Expense;;;1 PCS;;39;
2014-08-06;3000.0;Grands;;Cash;РФФИ 14#07##00870-а;;;Uncleared;;Personal Expense;;;1 PCS;;40;
2014-08-06;2000.0;Grands;;Cash;Договор ДП-67/14;;;Uncleared;;Personal Expense;;;1 PCS;;41;
2014-08-06;-2144.0;Other;;Cash;НДФЛ;;;Uncleared;;Personal Expense;;;1 PCS;;42;
2014-08-06;7203.0;Different Resources;;Cash;Отпуск;;;Uncleared;;Personal Expense;;;1 PCS;;43;
2014-08-06;-500.0;Entertainment;Party;Cash;шашлыки;;;Uncleared;;Personal Expense;;;1 PCS;;44;
2014-08-06;-216.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;45;
2014-08-07;6400.0;Different Resources;;Cash;лекции+практика (Слон и Жираф);;;Uncleared;;Personal Expense;;;1 PCS;;46;
2014-08-07;-351.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;47;
2014-08-07;-400.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;48;
2014-08-08;-363.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;49;
2014-08-09;600.0;Different Resources;;Cash;кот;;;Uncleared;;Personal Expense;;;1 PCS;;50;
2014-08-09;-141.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;51;
2014-08-11;-236.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;52;
2014-08-12;-379.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;53;
2014-08-13;600.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;54;
2014-08-13;-589.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;55;
2014-08-13;6600.0;Different Resources;;Cash;астрономия;;;Uncleared;;Personal Expense;;;1 PCS;;56;
2014-08-14;3000.0;Different Resources;;Cash;бабушка;;;Uncleared;;Personal Expense;;;1 PCS;;57;
2014-08-14;-210.0;Travel;Bus;Cash;пущино - москва;;;Uncleared;;Personal Expense;;;1 PCS;;58;
2014-08-14;-100.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;59;
2014-08-14;-2150.0;Other;;Cash;подарок Димке;;;Uncleared;;Personal Expense;;;1 PCS;;60;
2014-08-14;-240.0;Entertainment;Movies;Cash;кино стражи галактики;;;Uncleared;;Personal Expense;;;1 PCS;;61;
2014-08-14;-441.0;Entertainment;Cafe;Cash;КФС;;;Uncleared;;Personal Expense;;;1 PCS;;62;
2014-08-14;-1435.0;Other;;Cash;подарок Наиле;;;Uncleared;;Personal Expense;;;1 PCS;;63;
2014-08-14;-64.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;64;
2014-08-14;-88.0;Travel;Train;Cash;москва - домодедово;;;Uncleared;;Personal Expense;;;1 PCS;;65;
2014-08-14;-40.0;Food;;Cash;вода;;;Uncleared;;Personal Expense;;;1 PCS;;66;
2014-08-15;-80.0;Travel;Train;Cash;домодедово- москва;;;Uncleared;;Personal Expense;;;1 PCS;;67;
2014-08-15;-100.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;68;
2014-08-15;-110.0;Travel;Underground;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;69;
2014-08-15;-1310.0;Entertainment;Bar;Cash;кризис жанра;;;Uncleared;;Personal Expense;;;1 PCS;;70;
2014-08-15;-100.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;71;
2014-08-15;-53.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;72;
2014-08-15;-500.0;Entertainment;Bar;Cash;отдых с друже;;;Uncleared;;Personal Expense;;;1 PCS;;73;
2014-08-15;-35.0;Travel;Train;Cash;москва - мамонтовская;;;Uncleared;;Personal Expense;;;1 PCS;;74;
2014-08-16;-280.0;Travel;Train;Cash;нагинск - москва;;;Uncleared;;Personal Expense;;;1 PCS;;75;
2014-08-16;-210.0;Travel;Bus;Cash;москва - пущино;;;Uncleared;;Personal Expense;;;1 PCS;;76;
2014-08-17;-992.0;Entertainment;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;77;
2014-08-17;-299.0;Shopping;Devices;Cash;зарядка;;;Uncleared;;Personal Expense;;;1 PCS;;78;
2014-08-17;-24.0;Health Care;Other;Cash;бинты;;;Uncleared;;Personal Expense;;;1 PCS;;79;
2014-08-18;-155.0;Entertainment;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;80;
2014-08-20;-625.0;Food;;Cash;бухаем с Димкой;;;Uncleared;;Personal Expense;;;1 PCS;;81;
2014-08-22;-1000.0;Entertainment;Party;Cash;бухаю с Диманом;;;Uncleared;;Personal Expense;;;1 PCS;;82;
2014-08-25;600.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;83;
2014-08-25;-218.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;84;
2014-08-28;-270.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;85;
2014-08-28;-119.0;Shopping;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;86;
2014-08-28;347.0;Salary;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;87;
2014-08-28;3000.0;Grands;;Cash;140700870;;;Uncleared;;Personal Expense;;;1 PCS;;88;
2014-08-29;-2000.0;Entertainment;Concert;Cash;билет на Линдси;;;Uncleared;;Personal Expense;;;1 PCS;;89;
2014-08-30;-652.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;90;
2014-09-01;1600.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;91;
2014-09-02;2000.0;Different Resources;;Cash;Согорин Женек;;;Uncleared;;Personal Expense;;;1 PCS;;92;
2014-09-06;-686.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;93;
2014-09-06;-600.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;94;
2014-09-06;-78.0;Health Care;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;95;
2014-09-06;-340.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;96;
2014-09-06;-210.0;Travel;Bus;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;97;
2014-09-06;-60.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;98;
2014-09-06;-300.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;99;
2014-09-06;-210.0;Travel;Bus;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;100;
2014-09-06;-280.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;101;
2014-09-07;-159.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;102;
2014-09-09;-17.0;Travel;Bus;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;103;
2014-09-09;-210.0;Travel;Bus;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;104;
2014-09-09;-100.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;105;
2014-09-09;-210.0;Travel;Bus;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;106;
2014-09-12;-586.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;107;
2014-09-17;3000.0;Advance Payment;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;108;
2014-09-19;-165.0;Health Care;Other;Cash;бинты;;;Uncleared;;Personal Expense;;;1 PCS;;109;
2014-09-19;-120.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;110;
2014-09-19;-502.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;111;
2014-09-19;-290.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;112;
2014-09-19;8124.0;Different Resources;;Cash;УНК;;;Uncleared;;Personal Expense;;;1 PCS;;113;
2014-09-20;6000.0;Scholarship;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;114;
2014-09-20;-100.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;115;
2014-09-21;-820.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;116;
2014-09-21;2100.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;117;
2014-09-26;-766.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;118;
2014-09-27;-860.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;119;
2014-09-30;-210.0;Travel;Bus;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;120;
2014-09-30;-432.0;Entertainment;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;121;
2014-09-30;-250.0;Entertainment;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;122;
2014-09-30;-193.0;Travel;Bus;Cash;москва - Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;123;
2014-09-30;-270.0;Entertainment;Other;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;124;
2014-10-01;-50.0;Travel;Bus;Cash;Серпухов - Пущино;;;Uncleared;;Personal Expense;;;1 PCS;;125;
