;Date;Amount;Category;Subcategory;Payment Method;Description;Ref/Check No;Payee/Payer;Status;Receipt Picture;Account;Tag;Tax;Quantity;Split Total;Row Id;Type Id
0;2014-05-30;-16150.0;sport;;Cash;велик + замок;;;Uncleared;;Personal Expense;;;1 PCS;;1;
1;2014-07-15;3000.0;excursion;;Cash;Excursion from “Pansionat“;;;Uncleared;;Personal Expense;;;1 PCS;;2;
2;2014-07-23;-300.0;food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;3;
3;2014-07-23;-200.0;phone;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;4;
4;2014-07-24;-62.0;travel;;Cash;Пущино - Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;5;
5;2014-07-24;-660.0;shopping;;Cash;"шампунь
гель для душа
две пасты
две щетки";;;Uncleared;;Personal Expense;;;1 PCS;;6;
6;2014-07-24;-1000.0;entertainment;;Cash;Pazzo;;;Uncleared;;Personal Expense;;;1 PCS;;7;
7;2014-07-24;3000.0;advance;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;8;
8;2014-07-24;-2757.0;shopping;;Cash;палатка и два спальника;;;Uncleared;;Personal Expense;;;1 PCS;;9;
9;2014-07-24;-26.0;travel;;Cash;Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;10;
10;2014-07-24;-66.0;travel;;Cash;Серпухов - Пущино;;;Uncleared;;Personal Expense;;;1 PCS;;11;
11;2014-07-24;-498.0;food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;12;
12;2014-07-25;1000.0;excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;13;
13;2014-07-25;-123.0;food;;Cash;"3 чудо
вода
куросаны";;;Uncleared;;Personal Expense;;;1 PCS;;14;
14;2014-07-25;-210.0;travel;;Cash;пущино москва;;;Uncleared;;Personal Expense;;;1 PCS;;15;
15;2014-07-25;-100.0;travel;;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;16;
16;2014-07-25;-890.0;shopping;;Cash;карандаш и спрей для оптики;;;Uncleared;;Personal Expense;;;1 PCS;;17;
17;2014-07-25;-448.0;entertainment;;Cash;wokker;;;Uncleared;;Personal Expense;;;1 PCS;;18;
18;2014-07-26;-88.0;travel;;Cash;Москва - Домодедово;;;Uncleared;;Personal Expense;;;1 PCS;;19;
19;2014-07-26;-50.0;travel;;Cash;домодедово - москва;;;Uncleared;;Personal Expense;;;1 PCS;;20;
20;2014-07-26;-41.0;travel;;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;21;
