Date;Amount;Category;Subcategory;Payment Method;Description;Ref/Check No;Payee/Payer;Status;Receipt Picture;Account;Tag;Tax;Quantity;Split Total;Row Id;Type Id
30.05.2014;-16150.0;Sport;Bicycle;Cash;велик + замок;;;Uncleared;;Personal Expense;;;1 PCS;;1;
15.07.2014;3000.0;Excursion;;Cash;Excursion from “Pansionat“;;;Uncleared;;Personal Expense;;;1 PCS;;2;
23.07.2014;-300.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;3;
23.07.2014;-200.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;4;
24.07.2014;-62.0;Travel;Bus;Cash;Пущино - Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;5;
24.07.2014;-660.0;Shopping;Cleaning products;Cash;"шампунь
гель для душа
две пасты
две щетки";;;Uncleared;;Personal Expense;;;1 PCS;;6;
24.07.2014;-1000.0;Entertainment;Cafe;Cash;Pazzo;;;Uncleared;;Personal Expense;;;1 PCS;;7;
24.07.2014;3000.0;Advance payment;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;8;
24.07.2014;-2757.0;Sport;Tourism;Cash;палатка и два спальника;;;Uncleared;;Personal Expense;;;1 PCS;;9;
24.07.2014;-26.0;Travel;Bus;Cash;Серпухов;;;Uncleared;;Personal Expense;;;1 PCS;;10;
24.07.2014;-66.0;Travel;Bus;Cash;Серпухов - Пущино;;;Uncleared;;Personal Expense;;;1 PCS;;11;
24.07.2014;-498.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;12;
25.07.2014;1000.0;Excursion;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;13;
25.07.2014;-123.0;Food;;Cash;"3 чудо
вода
куросаны";;;Uncleared;;Personal Expense;;;1 PCS;;14;
25.07.2014;-210.0;Travel;Bus;Cash;пущино москва;;;Uncleared;;Personal Expense;;;1 PCS;;15;
25.07.2014;-100.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;16;
25.07.2014;-890.0;Shopping;Cleaning products;Cash;карандаш и спрей для оптики;;;Uncleared;;Personal Expense;;;1 PCS;;17;
25.07.2014;-448.0;Entertainment;Cafe;Cash;wokker;;;Uncleared;;Personal Expense;;;1 PCS;;18;
26.07.2014;-88.0;Travel;Train;Cash;Москва - Домодедово;;;Uncleared;;Personal Expense;;;1 PCS;;19;
26.07.2014;-50.0;Travel;Train;Cash;домодедово - москва;;;Uncleared;;Personal Expense;;;1 PCS;;20;
26.07.2014;-41.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;21;
26.07.2014;-53.0;Travel;Train;Cash;москва - железнодорожный;;;Uncleared;;Personal Expense;;;1 PCS;;22;
26.07.2014;-100.0;Travel;Train;Cash;железнодорожный - москва;;;Uncleared;;Personal Expense;;;1 PCS;;23;
26.07.2014;-40.0;Travel;Underground;Cash;метро;;;Uncleared;;Personal Expense;;;1 PCS;;24;
27.07.2014;-750.0;Entertainment;Bar;Cash;кризис жанра;;;Uncleared;;Personal Expense;;;1 PCS;;25;
27.07.2014;-210.0;Travel;Bus;Cash;москва - пущино;;;Uncleared;;Personal Expense;;;1 PCS;;26;
27.07.2014;-9595.0;Household;Rent;Cash;аренда+комиссия;;;Uncleared;;Personal Expense;;;1 PCS;;27;
27.07.2014;-115.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;28;
29.07.2014;-200.0;Utilities;Phone;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;29;
29.07.2014;-245.0;Other;;Cash;кот;;;Uncleared;;Personal Expense;;;1 PCS;;30;
29.07.2014;-1120.0;Shopping;Home;Cash;постельное;;;Uncleared;;Personal Expense;;;1 PCS;;31;
29.07.2014;-120.0;Shopping;Other;Cash;рамка для фото;;;Uncleared;;Personal Expense;;;1 PCS;;32;
30.07.2014;-55.0;Health Care;Other;Cash;бинты;;;Uncleared;;Personal Expense;;;1 PCS;;33;
30.07.2014;-493.0;Food;;Cash;"порошок
семечки
ватные диски
пиво";;;Uncleared;;Personal Expense;;;1 PCS;;34;
30.07.2014;-900.0;Entertainment;Party;Cash;шашлыки;;;Uncleared;;Personal Expense;;;1 PCS;;35;
31.07.2014;-163.0;Food;;Cash;"сырок
дошитак";;;Uncleared;;Personal Expense;;;1 PCS;;36;
01.08.2014;-276.0;Other;;Cash;кот;;;Uncleared;;Personal Expense;;;1 PCS;;37;
01.08.2014;-161.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;38;
03.08.2014;500.0;Different resources;;Cash;форсайт;;;Uncleared;;Personal Expense;;;1 PCS;;39;
06.08.2014;-385.0;Food;;Cash;;;;Uncleared;;Personal Expense;;;1 PCS;;40;
