Plasmids	locus_tag	protein_id	E-value_1	E-value_2
DQ889678.1	pPER272_0259	ABK01233.1	1.5e-39	1.1e-37
DQ889678.1	pPER272_0193	ABK01238.1	1.9e-31	2.5e-31
DQ889678.1	pPER272_0172	ABK01117.1	4.4e-20	5.4e-20
DQ889678.1	pPER272_0025	ABK01026.1	1.6e-16	8.8e-16
DQ889677.1	pPER272_AH820_0259	ABK00969.1	1.5e-39	1.1e-37
DQ889677.1	pPER272_AH820_0193	ABK00974.1	1.9e-31	2.5e-31
DQ889677.1	pPER272_AH820_0172	ABK00852.1	4.4e-20	5.4e-20
DQ889677.1	pPER272_AH820_0025	ABK00760.1	1.6e-16	8.8e-16
DQ889676.1	BcAH187_pCER270_0235	ABK00636.1	8.9e-40	6.5e-38
DQ889676.1	BcAH187_pCER270_0169	ABK00729.1	8.7e-35	1.1e-34
DQ889676.1	BcAH187_pCER270_0051	ABK00556.1	3.1e-19	5.8e-19
CP024657.1	CSW12_30405	-	4.7e-08	6.3e-08
CP009592.1	AQ16_5734	AJI08230.1	2.4e-39	2e-37
CP009592.1	AQ16_5716	AJI08297.1	6e-33	7.8e-33
CP009592.1	AQ16_5771	AJI08255.1	5.1e-18	8.8e-18
AE017195.1	BCE_A0151	AAS45001.1	6.3e-37	3.4e-35
AE017195.1	BCE_A0232	AAS45080.1	1.1e-34	1.5e-34
AE017195.1	BCE_A0242	AAS45091.1	5.1e-32	2e-21
AE017195.1	BCE_A0108	AAS44958.1	3.2e-19	6e-19
AE017195.1	BCE_A0001	AAS44851.1	3.6e-16	8.3e-16
CP001747.1	BACI_pCIXO101860	ADK08221.1	2e-39	1.8e-37
CP001747.1	BACI_pCIXO101680	ADK08203.1	6e-33	7.8e-33
CP001747.1	BACI_pCIXO100270	ADK08062.1	5.1e-18	8.8e-18
CP024656.1	CSW12_29380	AUB66996.1	7e-15	1.1e-14
CP024656.1	CSW12_29710	-	2.6e-14	3.7e-14
CP024656.1	CSW12_29180	-	2.6e-14	3.7e-14
CP024656.1	CSW12_29480	AUB67015.1	1.8e-09	2.1e-09
CP009299.1	AW22_5713	AJG56853.1	5.9e-36	1.1e-34
CP009299.1	AW22_5697	AJG56814.1	7.4e-33	9.3e-33
CP009299.1	AW22_5759	AJG56690.1	4e-19	8e-19
CP001285.1	BCAH820_B0311	ACK92755.1	1.5e-39	1.1e-37
CP001285.1	BCAH820_B0234	ACK92938.1	1.9e-31	2.5e-31
CP001285.1	BCAH820_B0211	ACK92690.1	4.4e-20	5.4e-20
CP001285.1	BCAH820_B0033	ACK92925.1	1.5e-16	8.7e-16
CP020940.1	B2J90_30270	ARO21687.1	2e-39	1.8e-37
CP020940.1	B2J90_30455	ARO21719.1	5.1e-18	8.8e-18
CP001179.1	BCAH187_C0261	ACJ82836.1	8.9e-40	6.5e-38
CP001179.1	BCAH187_C0189	ACJ82775.1	1.1e-34	1.5e-34
CP001179.1	BCAH187_C0056	ACJ82699.1	3.1e-19	5.8e-19
CP001166.1	BCH308197_A0020	ACI30289.1	8.9e-40	6.5e-38
CP001166.1	BCH308197_A0072	ACI30250.1	1.1e-34	1.5e-34
CP001166.1	BCH308197_A0045	ACI30405.1	4.4e-20	5.4e-20
