Plasmids	Term	TMP	MCP	ParA	ParM	XerC
DQ889678.1	-	+	-	+	-	+	
DQ889677.1	-	+	-	+	-	+	
U32369.1	-	-	-	-	-	-	
NC_001705.1	-	-	-	-	-	-	
X51366.1	-	-	-	-	-	-	
DQ889676.1	-	+	-	+	-	+	
CP024657.1	-	+	-	+	+	+	
CP009965.1	-	-	-	-	-	-	
CP009592.1	-	+	-	+	-	+	
DQ360825.1	-	-	-	-	-	-	
AE017195.1	-	+	-	+	-	+	
CP001747.1	-	+	-	+	-	+	
CP024658.1	-	+	-	+	-	-	
CP024656.1	-	+	-	+	-	+	
CP023180.1	-	-	-	-	-	-	
CP009299.1	-	+	-	+	-	+	
CP001285.1	-	+	-	+	-	+	
AY129652.1	-	-	-	-	-	-	
CP029457.1	+	+	+	+	-	-	
CP023182.1	-	-	-	-	-	-	
CP020940.1	-	+	-	+	-	+	
CP001179.1	-	+	-	+	-	+	
CP001166.1	-	+	-	+	-	+	
CP009970.1	-	-	-	-	-	-	
CP009969.1	-	-	-	-	-	+	
CP009639.1	-	+	-	+	-	+	
CP009317.1	-	+	-	+	-	+	
CP001406.1	-	+	-	+	-	+	
CP000228.1	-	+	-	+	-	+	
ABDM02000062.1	-	+	-	+	-	+	
ABDM02000063.1	-	+	-	+	-	+	
ABDM02000065.1	+	+	+	-	+	-	
NC_016773.1	-	-	-	-	-	-	
CP012485.1	-	-	-	-	-	-	
CP012484.1	-	-	-	-	-	-	
CP027921.1	+	+	-	+	-	+	
CP046513.1	-	+	-	+	-	+	
CP029456.1	-	+	-	+	-	+	
CP018742.1	-	+	-	+	-	+	
CP016361.1	-	+	-	+	-	+	
CP016317.1	-	-	-	+	-	+	
CP001180.1	-	+	-	-	-	+	
CP009634.1	-	-	-	-	-	-	
CP003748.1	-	+	-	+	-	+	
CP000044.1	-	-	-	-	-	+	
CP000043.1	-	-	-	-	-	-	
CP000041.1	-	-	-	-	-	-	
CP001748.1	-	+	-	+	-	+	
CP011154.1	+	+	-	+	-	+	
CP011152.1	+	+	-	+	-	+	
JPYN01000057.1	-	-	-	+	-	-	
ABDM02000064.1	-	+	-	+	-	+	
ABDM02000066.1	-	-	-	-	-	-	
NC_004721.2	-	-	+	-	-	-	
NC_005707.1	-	+	+	+	-	+	
CP012486.1	-	-	-	+	-	-	
NZ_CP027923.1	-	+	-	-	-	+	
NZ_CP027922.1	-	+	-	+	-	+	
NZ_CP028015.1	-	-	-	-	-	-	
NZ_CP028014.1	-	+	-	-	-	+	
NZ_CP028013.1	-	+	-	+	-	+	
CP028015.1	-	-	-	-	-	-	
CP028014.1	-	+	-	-	-	+	
CP028013.1	-	+	-	+	-	+	
CP027923.1	-	+	-	-	-	+	
CP027922.1	-	+	-	+	-	+	
NZ_CP029457.1	+	+	+	+	-	-	
NZ_CP029456.1	-	+	-	+	-	+	
NZ_CP029455.1	+	+	+	+	-	+	
CP029455.1	+	+	+	-	-	+	
PHQW02000015.1	-	+	-	+	-	+	
CP023246.1	-	+	-	+	-	+	
CP023181.1	-	-	-	-	-	-	
CP018741.1	-	+	-	-	-	+	
CP016596.1	-	-	-	-	-	+	
NC_007107.1	-	-	-	-	-	+	
NC_007106.1	-	-	-	-	-	-	
NC_007105.1	-	-	-	+	-	+	
NC_007104.1	-	-	-	-	-	-	
NC_007103.1	-	+	-	+	-	+	
AP007214.1	-	-	-	-	-	-	
AP007213.1	-	-	-	-	-	-	
AP007212.1	-	-	-	-	-	-	
AP007211.1	+	+	+	-	+	-	
AP007210.1	-	+	-	+	-	+	
CP001181.1	-	-	-	-	-	-	
CP001171.1	-	-	-	-	-	-	
CP001170.1	-	+	-	+	-	-	
CP001169.1	-	+	-	-	-	+	
CP001168.1	-	-	-	-	-	+	
CP001167.1	-	-	-	+	-	-	
CP009604.1	-	-	-	+	-	-	
CP009637.1	+	+	+	-	+	-	
CP009636.1	-	+	-	+	-	+	
CP003751.1	-	-	-	-	-	-	
CP003749.1	-	+	-	+	-	+	
CP003189.1	-	-	-	-	-	-	
CP000042.1	-	-	-	+	-	+	
CP000040.1	-	+	-	+	-	+	
AE016878.2	-	-	+	-	-	-	
CP000229.1	+	+	+	+	+	-	
CP001188.1	-	-	-	-	+	-	
CP001187.1	-	+	-	+	-	+	
CP001286.1	-	-	-	-	-	-	
CP001284.1	-	-	-	-	-	-	
LYVD01000041.1	-	-	-	-	-	-	
LYVD01000047.1	-	+	-	+	-	-	
CP015730.1	-	-	-	-	-	+	
CP015729.1	-	-	-	-	-	-	
CP009593.1	-	-	-	+	-	-	
NC_025012.1	-	-	-	-	-	+	
JPYN01000058.1	-	+	-	-	-	-	
ABCZ02000101.1	-	-	-	-	-	-	
ABCZ02000102.1	-	-	-	-	-	-	
FR675941.1	-	-	-	+	-	+	
ABDA02000035.1	-	+	+	+	-	+	
AB083655.3	-	-	-	-	-	+	
AAEK01000036.1	-	+	-	+	-	-	
AAEK01000038.1	-	-	-	+	-	-	
NZ_CP042875.1	-	+	-	+	-	+	
GQ404376.1	-	-	-	-	-	-	
NZ_CP034552.1	-	-	+	-	-	-	
NZ_CP012486.1	-	-	-	+	-	-	
NZ_CP012485.1	-	-	-	-	-	-	
NZ_CP012484.1	-	-	-	-	-	-	
NZ_CP015592.1	-	+	-	+	-	+	
NZ_CP015591.1	-	-	-	+	-	+	
NZ_CP015590.1	-	-	-	-	-	-	
NZ_CP023246.1	-	+	-	+	-	+	
NC_016794.1	+	-	+	+	-	-	
NC_016780.1	-	-	-	-	-	-	
NC_016792.1	-	+	+	+	-	+	
NC_016772.1	+	+	+	-	+	-	
NC_016793.1	-	-	-	-	-	-	
NC_016774.1	-	-	-	-	-	-	
NZ_CP014487.1	+	+	+	+	+	-	
NZ_CP009595.1	-	+	+	+	-	+	
NZ_CP009594.1	+	+	+	+	-	-	
NZ_CP009593.1	-	-	-	+	-	-	
NZ_CP009606.1	-	+	+	+	-	+	
NZ_CP009604.1	-	-	-	+	-	-	
NZ_CP009603.1	+	+	+	+	-	-	
NZ_CP009640.1	-	+	-	+	-	+	
