Plasmids	locus_tag	protein_id	E-value_1	E-value_2
DQ889678.1	pPER272_0106	ABK01218.1	0.029	0.04
DQ889678.1	pPER272_0198	ABK01197.1	0.15	0.23
DQ889678.1	pPER272_0218	ABK01100.1	1.4e-20	1.4e-20
DQ889678.1	pPER272_0106	ABK01218.1	1.7e-07	1.7e-07
DQ889677.1	pPER272_AH820_0106	ABK00954.1	0.029	0.04
DQ889677.1	pPER272_AH820_0198	ABK00932.1	0.15	0.23
DQ889677.1	pPER272_AH820_0218	ABK00835.1	1.4e-20	1.4e-20
DQ889677.1	pPER272_AH820_0106	ABK00954.1	1.7e-07	1.7e-07
U32369.1	-	AAA84922.1	0.0092	0.013
U32369.1	-	AAA84921.1	0.01	0.014
U32369.1	-	AAA84922.1	0.37	0.49
U32369.1	-	AAA84921.1	0.41	0.54
NC_001705.1	pBC16_p1	NP_043522.1	0.01	0.014
NC_001705.1	pBC16_p1	NP_043522.1	0.41	0.54
DQ889676.1	BcAH187_pCER270_0151	ABK00629.1	0.027	0.038
DQ889676.1	BcAH187_pCER270_0041	ABK00619.1	0.0025	0.0025
DQ889676.1	BcAH187_pCER270_0041	ABK00619.1	1.3e-12	1.6e-12
DQ889676.1	BcAH187_pCER270_0175	ABK00677.1	0.14	0.23
DQ889676.1	BcAH187_pCER270_0041	ABK00619.1	2e-13	2e-13
DQ889676.1	BcAH187_pCER270_0041	ABK00619.1	0.0071	0.0084
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	0.45	0.5
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	0.34	0.37
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	0.0031	0.0038
DQ889676.1	BcAH187_pCER270_0135	ABK00695.1	0.024	0.036
DQ889676.1	BcAH187_pCER270_0151	ABK00629.1	1.7e-07	1.7e-07
DQ889676.1	BcAH187_pCER270_0096	ABK00713.1	3.5	5.5
DQ889676.1	BcAH187_pCER270_0116	ABK00574.1	1.3	1.4
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	8.1	9
CP024657.1	CSW12_29860	AUB67075.1	0.017	0.022
CP024657.1	CSW12_29825	AUB67068.1	2.6	3
CP024657.1	CSW12_29905	AUB67084.1	1.8	2.2
CP024657.1	CSW12_30525	AUB67190.1	5.3e-13	5.3e-13
CP024657.1	CSW12_30520	AUB67179.1	0.35	0.36
CP024657.1	CSW12_30395	AUB67160.1	0.04	0.049
CP024657.1	CSW12_30495	AUB67174.1	0.04	0.049
CP024657.1	CSW12_30400	AUB67161.1	9.4	10
CP009592.1	AQ16_5674	AJI08119.1	0.31	0.43
CP009592.1	AQ16_5674	AJI08119.1	0.14	0.0078
CP009592.1	AQ16_5674	AJI08119.1	1.4	7
CP009592.1	AQ16_5674	AJI08119.1	0.15	0.22
CP009592.1	AQ16_5674	AJI08119.1	0.00043	0.00057
CP009592.1	AQ16_5674	AJI08119.1	0.0041	0.0041
CP009592.1	AQ16_5674	AJI08119.1	1.9	0.79
CP009592.1	AQ16_5674	AJI08119.1	0.9	3.3
CP009592.1	AQ16_5674	AJI08119.1	7.9	4
CP009592.1	AQ16_5674	AJI08119.1	0.0017	0.0017
CP009592.1	AQ16_5663	AJI08291.1	9e-07	9e-07
CP009592.1	AQ16_5637	AJI08140.1	9.6	21
AE017195.1	BCE_A0016	AAS44866.1	0.27	0.31
AE017195.1	BCE_A0023	AAS44873.1	0.029	0.04
AE017195.1	BCE_A0226	AAS45074.1	0.13	0.23
AE017195.1	BCE_A0016	AAS44866.1	1.4	1.5
AE017195.1	BCE_A0016	AAS44866.1	0.48	0.56
AE017195.1	BCE_A0016	AAS44866.1	0.48	0.61
AE017195.1	BCE_A0203	AAS45052.1	1.4e-20	1.4e-20
AE017195.1	BCE_A0023	AAS44873.1	1.5e-07	1.5e-07
AE017195.1	BCE_A0059	AAS44909.1	1.3	2
CP001747.1	BACI_pCIXO101090	ADK08144.1	0.31	0.43
CP001747.1	BACI_pCIXO101090	ADK08144.1	0.14	0.0078
CP001747.1	BACI_pCIXO101090	ADK08144.1	1.4	7
CP001747.1	BACI_pCIXO101090	ADK08144.1	0.15	0.22
CP001747.1	BACI_pCIXO101090	ADK08144.1	0.00043	0.00057
CP001747.1	BACI_pCIXO101090	ADK08144.1	0.0041	0.0041
CP001747.1	BACI_pCIXO101090	ADK08144.1	1.9	0.79
CP001747.1	BACI_pCIXO101090	ADK08144.1	0.9	3.3
CP001747.1	BACI_pCIXO101090	ADK08144.1	8	4
CP001747.1	BACI_pCIXO101090	ADK08144.1	0.0017	0.0017
CP001747.1	BACI_pCIXO100980	ADK08133.1	8.3e-07	8.3e-07
CP001747.1	BACI_pCIXO100730	ADK08108.1	9.6	21
CP024658.1	CSW12_31050	AUB67268.1	0.00015	0.00024
CP024658.1	CSW12_30935	AUB67248.1	0.14	0.16
CP024656.1	CSW12_29410	AUB67002.1	0.5	0.55
CP024656.1	CSW12_29595	AUB67030.1	0.14	0.27
CP024656.1	CSW12_29255	AUB66975.1	2.2e-22	2.8e-22
CP009299.1	AW22_5638	AJG56799.1	0.035	0.05
CP009299.1	AW22_5712	AJG56782.1	0.89	0.99
CP009299.1	AW22_5718	AJG56686.1	1.6	2.1
CP009299.1	AW22_5638	AJG56799.1	3e-06	3e-06
CP009299.1	AW22_5805	AJG56803.1	1.4	2.3
CP001285.1	BCAH820_B0135	ACK92644.1	0.029	0.04
CP001285.1	BCAH820_B0240	ACK92705.1	0.15	0.23
CP001285.1	BCAH820_B0263	ACK92805.1	1.4e-20	1.4e-20
CP001285.1	BCAH820_B0135	ACK92644.1	1.7e-07	1.7e-07
CP029457.1	FORC087_624	QDD87407.1	1.5e-06	1.3e-05
CP029457.1	FORC087_652	QDD87435.1	0.07	0.097
CP029457.1	FORC087_624	QDD87407.1	0.25	0.036
CP029457.1	FORC087_634	QDD87417.1	0.2	0.24
CP029457.1	FORC087_624	QDD87407.1	0.41	0.97
CP029457.1	FORC087_624	QDD87407.1	1	0.011
CP029457.1	FORC087_663	QDD87446.1	0.0001	0.00012
CP029457.1	FORC087_662	QDD87445.1	3.6	3.8
CP020940.1	B2J90_30050	ARO21759.1	0.31	0.43
CP020940.1	B2J90_30050	ARO21759.1	0.14	0.0078
CP020940.1	B2J90_30050	ARO21759.1	1.4	7
CP020940.1	B2J90_30050	ARO21759.1	0.15	0.22
CP020940.1	B2J90_30050	ARO21759.1	0.00043	0.00057
CP020940.1	B2J90_30050	ARO21759.1	0.0041	0.0041
CP020940.1	B2J90_30050	ARO21759.1	1.9	0.79
CP020940.1	B2J90_30050	ARO21759.1	0.9	3.3
CP020940.1	B2J90_30050	ARO21759.1	7.9	4
CP020940.1	B2J90_30050	ARO21759.1	0.0017	0.0017
CP020940.1	B2J90_30000	ARO21645.1	9e-07	9e-07
CP001179.1	BCAH187_C0169	ACJ82677.1	0.027	0.038
CP001179.1	BCAH187_C0045	ACJ82639.1	0.0025	0.0025
CP001179.1	BCAH187_C0045	ACJ82639.1	1.3e-12	1.6e-12
CP001179.1	BCAH187_C0195	ACJ82742.1	0.14	0.23
CP001179.1	BCAH187_C0045	ACJ82639.1	2e-13	2e-13
CP001179.1	BCAH187_C0045	ACJ82639.1	0.0071	0.0084
CP001179.1	BCAH187_C0176	ACJ82827.1	0.45	0.5
CP001179.1	BCAH187_C0176	ACJ82827.1	0.34	0.37
CP001179.1	BCAH187_C0176	ACJ82827.1	0.0031	0.0038
CP001179.1	BCAH187_C0151	ACJ82806.1	0.024	0.036
CP001179.1	BCAH187_C0169	ACJ82677.1	1.7e-07	1.7e-07
CP001179.1	BCAH187_C0107	ACJ82861.1	3.5	5.5
CP001179.1	BCAH187_C0128	ACJ82643.1	1.3	1.4
CP001179.1	BCAH187_C0176	ACJ82827.1	8.1	9
CP001166.1	BCH308197_A0091	ACI30295.1	0.027	0.038
CP001166.1	BCH308197_A0213	ACI30314.1	0.0025	0.0025
CP001166.1	BCH308197_A0213	ACI30314.1	1.3e-12	1.6e-12
CP001166.1	BCH308197_A0066	ACI30372.1	0.2	0.33
CP001166.1	BCH308197_A0213	ACI30314.1	2e-13	2e-13
CP001166.1	BCH308197_A0213	ACI30314.1	0.0071	0.0084
CP001166.1	BCH308197_A0085	ACI30466.1	0.45	0.5
CP001166.1	BCH308197_A0085	ACI30466.1	0.34	0.37
CP001166.1	BCH308197_A0085	ACI30466.1	0.0031	0.0038
CP001166.1	BCH308197_A0109	ACI30331.1	0.024	0.036
CP001166.1	BCH308197_A0091	ACI30295.1	1.7e-07	1.7e-07
CP001166.1	BCH308197_A0133	ACI30445.1	1.3	1.4
CP001166.1	BCH308197_A0085	ACI30466.1	8.1	9
CP009639.1	AK40_5625	AJI08882.1	0.77	0.73
CP009639.1	AK40_5626	AJI08816.1	0.57	0.075
CP009639.1	AK40_5536	AJI08884.1	0.0092	0.0092
CP009639.1	AK40_5499	AJI08833.1	0.66	0.64
CP009639.1	AK40_5534	AJI08698.1	1.4e-06	1.4e-06
CP009639.1	AK40_5536	AJI08884.1	2.9e-13	2.9e-13
CP009639.1	AK40_5509	AJI08749.1	6.5	7
CP009639.1	AK40_5536	AJI08884.1	0.001	0.001
CP009639.1	AK40_5641	AJI08940.1	0.11	0.14
CP009639.1	AK40_5626	AJI08816.1	0.25	0.29
CP009639.1	AK40_5536	AJI08884.1	2.1e-17	2.1e-17
CP009639.1	AK40_5689	AJI08780.1	2.3	2.7
CP009639.1	AK40_5709	AJI08838.1	3.7	4.3
CP009317.1	AS54_5515	AJG51320.1	0.34	0.5
CP009317.1	AS54_5515	AJG51320.1	0.19	0.009
CP009317.1	AS54_5515	AJG51320.1	1.8	2.4
CP009317.1	AS54_5515	AJG51320.1	0.17	0.25
CP009317.1	AS54_5515	AJG51320.1	0.0005	0.00066
CP009317.1	AS54_5515	AJG51320.1	0.32	0.67
CP009317.1	AS54_5515	AJG51320.1	2.3	0.9
CP009317.1	AS54_5515	AJG51320.1	1.2	5.8
CP009317.1	AS54_5575	AJG51258.1	1.1	1.5
CP009317.1	AS54_5515	AJG51320.1	9.4	4.1
CP009317.1	AS54_5515	AJG51320.1	0.0019	0.0019
CP009317.1	AS54_5531	AJG51243.1	4.2e-06	4.2e-06
CP009317.1	AS54_5558	AJG51289.1	8.7	17
CP001406.1	BCA_A0107	ACO25675.1	0.31	0.43
CP001406.1	BCA_A0107	ACO25675.1	0.14	0.0078
CP001406.1	BCA_A0107	ACO25675.1	1.4	7
CP001406.1	BCA_A0107	ACO25675.1	0.15	0.22
CP001406.1	BCA_A0107	ACO25675.1	0.00043	0.00057
CP001406.1	BCA_A0107	ACO25675.1	0.0041	0.0041
CP001406.1	BCA_A0107	ACO25675.1	1.9	0.79
CP001406.1	BCA_A0107	ACO25675.1	0.9	3.3
CP001406.1	BCA_A0044	ACO25735.1	1.1	1.5
CP001406.1	BCA_A0107	ACO25675.1	7.9	4
CP001406.1	BCA_A0107	ACO25675.1	0.0017	0.0017
CP001406.1	BCA_A0089	ACO25816.1	4.2e-06	4.2e-06
CP001406.1	BCA_A0061	ACO25685.1	8.7	17
CP000228.1	BCQ_PI142	ACM15876.1	0.003	0.0033
CP000228.1	BCQ_PI101	ACM15835.1	0.27	0.41
CP000228.1	BCQ_PI142	ACM15876.1	0.0016	0.0016
CP000228.1	BCQ_PI142	ACM15876.1	1.7e-12	2e-12
CP000228.1	BCQ_PI064	ACM15798.1	0.086	0.14
CP000228.1	BCQ_PI142	ACM15876.1	6e-14	7.5e-14
CP000228.1	BCQ_PI142	ACM15876.1	0.0025	0.003
CP000228.1	BCQ_PI173	ACM15907.1	0.12	0.12
CP000228.1	BCQ_PI204	ACM15938.1	4.9	8.5
ABDM02000062.1	BC03BB108_B0267	EDX60041.1	0.77	0.73
ABDM02000062.1	BC03BB108_B0182	EDX60000.1	0.0092	0.0092
ABDM02000062.1	BC03BB108_B0145	EDX59974.1	0.66	0.64
ABDM02000062.1	BC03BB108_B0180	EDX59820.1	1.4e-06	1.4e-06
ABDM02000062.1	BC03BB108_B0182	EDX60000.1	2.9e-13	2.9e-13
ABDM02000062.1	BC03BB108_B0155	EDX59942.1	6.5	7
ABDM02000062.1	BC03BB108_B0182	EDX60000.1	0.001	0.001
ABDM02000062.1	BC03BB108_B0284	EDX59806.1	0.11	0.14
ABDM02000062.1	BC03BB108_B0182	EDX60000.1	2.1e-17	2.1e-17
ABDM02000062.1	BC03BB108_B0332	EDX59925.1	2.3	2.7
ABDM02000062.1	BC03BB108_B0018	EDX59985.1	3.7	4.3
ABDM02000063.1	BC03BB108_C0109	EDX59741.1	0.93	1.1
ABDM02000063.1	BC03BB108_C0104	EDX59695.1	0.014	0.02
ABDM02000063.1	BC03BB108_C0142	EDX59736.1	5.9	6.1
ABDM02000063.1	BC03BB108_C0174	EDX59777.1	2.3	1.2
ABDM02000063.1	BC03BB108_C0136	EDX59677.1	0.22	0.36
ABDM02000063.1	BC03BB108_C0109	EDX59741.1	1.5	1.7
ABDM02000063.1	BC03BB108_C0174	EDX59777.1	5.8	6.9
ABDM02000063.1	BC03BB108_C0174	EDX59777.1	8.9	11
ABDM02000063.1	BC03BB108_C0174	EDX59777.1	0.6	0.74
ABDM02000063.1	BC03BB108_C0062	EDX59661.1	2.4	2.9
ABDM02000063.1	BC03BB108_C0150	EDX59595.1	0.00033	0.0004
ABDM02000063.1	BC03BB108_C0150	EDX59595.1	2.6	4
ABDM02000063.1	BC03BB108_C0104	EDX59695.1	0.22	0.33
ABDM02000063.1	BC03BB108_C0150	EDX59595.1	2.1	0.11
ABDM02000063.1	BC03BB108_C0109	EDX59741.1	2.7	3.5
ABDM02000063.1	BC03BB108_C0109	EDX59741.1	0.13	0.18
ABDM02000063.1	BC03BB108_C0142	EDX59736.1	1.8	1.8
ABDM02000063.1	BC03BB108_C0104	EDX59695.1	4.1e-06	4.1e-06
ABDM02000063.1	BC03BB108_C0063	EDX59600.1	3	5.5
ABDM02000065.1	BC03BB108_E0034	EDX59421.1	2.8e-13	2.8e-13
ABDM02000065.1	BC03BB108_E0034	EDX59421.1	4.5e-21	5.1e-09
ABDM02000065.1	BC03BB108_E0034	EDX59421.1	4.5e-15	2.4e-12
ABDM02000065.1	BC03BB108_E0034	EDX59421.1	5.3e-09	4.6e-07
ABDM02000065.1	BC03BB108_E0013	EDX59423.1	2.4	2.8
ABDM02000065.1	BC03BB108_E0034	EDX59421.1	1.7e-14	1.7e-14
ABDM02000065.1	BC03BB108_E0034	EDX59421.1	5.4e-12	1.2e-09
ABDM02000065.1	BC03BB108_E0034	EDX59421.1	0.0002	0.0002
CP012485.1	ACN91_27565	ALC55291.1	0.49	0.87
CP027921.1	C1N82_32105	QHV07855.1	0.03	0.043
CP027921.1	C1N82_32945	QHV08001.1	0.17	0.18
CP027921.1	C1N82_32945	QHV08001.1	0.056	0.069
