Plasmids	locus_tag	protein_id	E-value_1	E-value_2
DQ889678.1	pPER272_0255	ABK01056.1	2.2e-12	7.7e-05
DQ889678.1	pPER272_0072	ABK01050.1	0.0002	0.013
DQ889678.1	pPER272_0255	ABK01056.1	1.8e-23	6e-13
DQ889678.1	pPER272_0072	ABK01050.1	2.7e-07	5.5e-07
DQ889678.1	pPER272_0249	ABK01247.1	7.1e-05	0.0043
DQ889678.1	pPER272_0255	ABK01056.1	4.7e-18	4e-07
DQ889678.1	pPER272_0072	ABK01050.1	0.0007	0.0039
DQ889678.1	pPER272_0249	ABK01247.1	0.017	0.031
DQ889678.1	pPER272_0177	ABK01230.1	4.4e-21	6.6e-20
DQ889678.1	pPER272_0183	ABK01252.1	5.9e-21	1.3e-19
DQ889678.1	pPER272_0163	ABK01085.1	1.1e-15	5e-14
DQ889678.1	pPER272_0092	ABK01258.1	8.9e-15	3.6e-08
DQ889678.1	pPER272_0134	ABK01113.1	1.4e-14	2e-14
DQ889678.1	pPER272_0180	ABK01080.1	6.7e-12	2.9e-11
DQ889678.1	pPER272_0119	ABK01184.1	2.1e-11	5.7e-10
DQ889678.1	pPER272_0121	ABK01228.1	0.13	0.16
DQ889678.1	pPER272_0255	ABK01056.1	5.2e-08	0.0023
DQ889678.1	pPER272_0072	ABK01050.1	0.16	0.22
DQ889678.1	pPER272_0255	ABK01056.1	4.2e-26	2.1e-12
DQ889678.1	pPER272_0072	ABK01050.1	1.2e-06	5.3e-06
DQ889678.1	pPER272_0249	ABK01247.1	0.019	0.037
DQ889678.1	pPER272_0255	ABK01056.1	5.4e-06	0.13
DQ889678.1	pPER272_0072	ABK01050.1	0.2	0.32
DQ889678.1	pPER272_0255	ABK01056.1	5.4e-16	5.1e-07
DQ889678.1	pPER272_0072	ABK01050.1	0.00084	0.0064
DQ889678.1	pPER272_0072	ABK01050.1	1.3e-07	2.6e-07
DQ889678.1	pPER272_0255	ABK01056.1	7.4e-06	0.0032
DQ889678.1	pPER272_0183	ABK01252.1	1.6e-12	3.1e-07
