Plasmids	locus_tag(Term)	protein_id(Term)	E-value_1(Term)	E-value_2(Term)	locus_tag(TMP)	protein_id(TMP)	E-value_1(TMP)	E-value_2(TMP)	locus_tag(MCP)	protein_id(MCP)	E-value_1(MCP)	E-value_2(MCP)	locus_tag(ParA)	protein_id(ParA)	E-value_1(ParA)	E-value_2(ParA)	locus_tag(ParM)	protein_id(ParM)	E-value_1(ParM)	E-value_2(ParM)	locus_tag(XerC)	protein_id(XerC)	E-value_1(XerC)	E-value_2(XerC)
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0255	ABK01056.1	2.2e-12	7.7e-05	-	-	-	-	pPER272_0259	ABK01233.1	1.5e-39	1.1e-37
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0072	ABK01050.1	0.0002	0.013	-	-	-	-	pPER272_0193	ABK01238.1	1.9e-31	2.5e-31
DQ889678.1	-	-	-	-	pPER272_0218	ABK01100.1	1.4e-20	1.4e-20	-	-	-	-	pPER272_0255	ABK01056.1	1.8e-23	6e-13	-	-	-	-	pPER272_0172	ABK01117.1	4.4e-20	5.4e-20
DQ889678.1	-	-	-	-	pPER272_0106	ABK01218.1	1.7e-07	1.7e-07	-	-	-	-	pPER272_0072	ABK01050.1	2.7e-07	5.5e-07	-	-	-	-	pPER272_0025	ABK01026.1	1.6e-16	8.8e-16
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0249	ABK01247.1	7.1e-05	0.0043	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0255	ABK01056.1	4.7e-18	4e-07	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0072	ABK01050.1	0.0007	0.0039	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0177	ABK01230.1	4.4e-21	6.6e-20	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0183	ABK01252.1	5.9e-21	1.3e-19	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0163	ABK01085.1	1.1e-15	5e-14	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0092	ABK01258.1	8.9e-15	3.6e-08	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0134	ABK01113.1	1.4e-14	2e-14	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0180	ABK01080.1	6.7e-12	2.9e-11	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	pPER272_0119	ABK01184.1	2.1e-11	5.7e-10	-	-	-	-	-	-	-	-
DQ889678.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
