Plasmids	Term	TMP	MCP	ParA	ParM	XerC	TeTmM	TeTmMPa	TeTmMPm	TeTmMPaPm	TeTmMX	TeTmMPaX	TeTmMPmX	TeTmMPaPmX	TeTmPa	TeMPa
DQ889678.1	1	4	0	34	0	4	 	 	 	 	 	 	 	 	+	 
DQ889677.1	1	4	0	34	0	4	 	 	 	 	 	 	 	 	+	 
U32369.1	0	4	0	0	0	0	 	 	 	 	 	 	 	 	 	 
NC_001705.1	0	2	0	0	0	0	 	 	 	 	 	 	 	 	 	 
X51366.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
DQ889676.1	2	14	7	19	0	3	+	+	 	 	+	+	 	 	+	+
CP024657.1	0	8	0	14	1	1	 	 	 	 	 	 	 	 	 	 
CP009965.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
CP009592.1	0	12	0	9	0	3	 	 	 	 	 	 	 	 	 	 
DQ360825.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
AE017195.1	2	9	3	19	0	5	+	+	 	 	+	+	 	 	+	+
CP001747.1	1	12	0	9	0	3	 	 	 	 	 	 	 	 	+	 
CP024658.1	0	2	0	7	0	0	 	 	 	 	 	 	 	 	 	 
CP024656.1	0	3	0	6	0	4	 	 	 	 	 	 	 	 	 	 
CP023180.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
CP009299.1	3	5	0	23	0	3	 	 	 	 	 	 	 	 	+	 
CP001285.1	1	4	0	34	0	4	 	 	 	 	 	 	 	 	+	 
AY129652.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
CP029457.1	15	8	6	13	0	0	+	+	 	 	 	 	 	 	+	+
CP023182.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
CP020940.1	1	11	0	9	0	2	 	 	 	 	 	 	 	 	+	 
CP001179.1	2	14	7	20	0	3	+	+	 	 	+	+	 	 	+	+
CP001166.1	3	13	7	16	0	4	+	+	 	 	+	+	 	 	+	+
CP009970.1	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 
CP009969.1	0	0	0	0	0	1	 	 	 	 	 	 	 	 	 	 
CP009639.1	4	13	1	5	0	9	+	+	 	 	+	+	 	 	+	+
