Plasmids	locus_tag	protein_id	E-value_1	E-value_2
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	0.4	0.44
DQ889676.1	BcAH187_pCER270_0116	ABK00574.1	0.46	0.57
DQ889676.1	BcAH187_pCER270_0116	ABK00574.1	0.068	0.079
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	9.9	12
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	1.8	2.2
DQ889676.1	BcAH187_pCER270_0158	ABK00589.1	0.38	0.43
DQ889676.1	BcAH187_pCER270_0116	ABK00574.1	1.6	1.8
AE017195.1	BCE_A0002	AAS44852.1	0.036	0.045
AE017195.1	BCE_A0016	AAS44866.1	3.4	4.4
AE017195.1	BCE_A0016	AAS44866.1	6	8.2
CP029457.1	FORC087_711	QDD87494.1	0.00036	0.0005
CP029457.1	FORC087_711	QDD87494.1	8.9e-83	1e-82
CP029457.1	FORC087_711	QDD87494.1	0.00089	0.0012
CP029457.1	FORC087_711	QDD87494.1	1.6e-14	2e-14
CP029457.1	FORC087_711	QDD87494.1	1.8e-08	2.2e-08
CP029457.1	FORC087_711	QDD87494.1	0.00011	0.00014
CP001179.1	BCAH187_C0176	ACJ82827.1	0.4	0.44
CP001179.1	BCAH187_C0128	ACJ82643.1	0.46	0.57
CP001179.1	BCAH187_C0128	ACJ82643.1	0.068	0.079
CP001179.1	BCAH187_C0176	ACJ82827.1	9.9	12
CP001179.1	BCAH187_C0176	ACJ82827.1	1.8	2.2
CP001179.1	BCAH187_C0176	ACJ82827.1	0.38	0.43
CP001179.1	BCAH187_C0128	ACJ82643.1	1.6	1.8
CP001166.1	BCH308197_A0085	ACI30466.1	0.4	0.44
CP001166.1	BCH308197_A0133	ACI30445.1	0.46	0.57
CP001166.1	BCH308197_A0133	ACI30445.1	0.068	0.079
CP001166.1	BCH308197_A0085	ACI30466.1	9.9	12
CP001166.1	BCH308197_A0085	ACI30466.1	1.8	2.2
CP001166.1	BCH308197_A0085	ACI30466.1	0.38	0.43
CP001166.1	BCH308197_A0133	ACI30445.1	1.6	1.8
CP009639.1	AK40_5666	AJI08932.1	0.036	0.045
CP000228.1	BCQ_PI146	ACM15880.1	0.17	1.6
