Plasmids	locus_tag	protein_id	E-value_1	E-value_2
CP024657.1	CSW12_29830	AUB67069.1	8e-09	2.5e-07
ABDM02000065.1	BC03BB108_E0046	EDX59456.1	0.0001	0.00016
CP001180.1	BCAH187_E0022	ACJ82890.1	0.066	0.13
NZ_CP027922.1	C1N82_RS32070	WP_162281215.1	0.069	0.13
NZ_CP027922.1	C1N82_RS32070	WP_162281215.1	0.0016	0.0038
NZ_CP028013.1	C1N66_RS31405	WP_162281215.1	0.069	0.13
NZ_CP028013.1	C1N66_RS31405	WP_162281215.1	0.0016	0.0038
CP028013.1	C1N66_32175	QHV47649.1	0.069	0.13
CP028013.1	C1N66_32175	QHV47649.1	0.0016	0.0038
CP027922.1	C1N82_33710	QHV08145.1	0.069	0.13
CP027922.1	C1N82_33710	QHV08145.1	0.0016	0.0038
AP007211.1	BCN_C1_01	BAL21476.1	9.9e-06	1.4e-05
AP007211.1	BCN_C1_01	BAL21476.1	1.4e-08	1.9e-08
CP001170.1	BCH308197_B0088	ACI30549.1	0.0087	0.1
CP009637.1	AK40_6281	AJI08547.1	0.0001	0.00016
CP000229.1	BCQ_PT09	ACM15971.1	9.9e-24	1.2e-23
CP001188.1	BCG9842_A0080	ACK98727.1	3.4e-06	5.5e-06
CP001188.1	BCG9842_A0080	ACK98727.1	7.3e-25	9.2e-25
NZ_CP015592.1	A7A70_RS28500	WP_082250349.1	0.17	0.22
NC_016772.1	BCN_RS28470	WP_000924195.1	9.9e-06	1.4e-05
NC_016772.1	BCN_RS28470	WP_000924195.1	1.4e-08	1.9e-08
NZ_CP014487.1	FORC21_RS28660	WP_072770108.1	1.5e-08	2.2e-08
NZ_CP014487.1	FORC21_RS28660	WP_072770108.1	2.7e-27	3.3e-27
NZ_CP009637.1	AK40_RS01230	WP_001996415.1	0.0001	0.00016
NZ_CP024657.1	CSW12_RS29755	WP_100910660.1	8e-09	2.5e-07
NC_011774.1	BCG9842_RS28450	WP_000856968.1	3.4e-06	5.5e-06
NC_011774.1	BCG9842_RS28450	WP_000856968.1	7.3e-25	9.2e-25
NC_011656.1	BCAH187_RS29190	WP_000996170.1	0.066	0.13
NC_011971.1	BCQ_RS28100	WP_000169697.1	9.9e-24	1.2e-23
CP014487.1	FORC21_5418	AQQ66213.1	1.5e-08	2.2e-08
CP014487.1	FORC21_5418	AQQ66213.1	2.7e-27	3.3e-27
