Plasmids	locus_tag	protein_id	E-value_1	E-value_2
DQ889678.1	pPER272_0033	ABK01029.1	0.026	0.061
DQ889677.1	pPER272_AH820_0033	ABK00763.1	0.026	0.061
DQ889676.1	BcAH187_pCER270_0061	ABK00743.1	0.043	0.086
DQ889676.1	BcAH187_pCER270_0061	ABK00743.1	0.18	0.46
AE017195.1	BCE_A0098	AAS44948.1	0.037	0.074
AE017195.1	BCE_A0098	AAS44948.1	0.14	0.36
CP001747.1	BACI_pCIXO101770	ADK08212.1	0.11	0.12
CP009299.1	AW22_5727	AJG56656.1	0.26	0.33
CP009299.1	AW22_5770	AJG56655.1	0.037	0.074
CP009299.1	AW22_5770	AJG56655.1	0.14	0.36
CP001285.1	BCAH820_B0044	ACK92789.1	0.026	0.061
CP029457.1	FORC087_707	QDD87490.1	1.9e-06	1.3e-05
CP029457.1	FORC087_707	QDD87490.1	9e-14	8.2e-13
CP029457.1	FORC087_706	QDD87489.1	0.0037	0.0037
CP029457.1	FORC087_707	QDD87490.1	0.00021	0.0017
CP029457.1	FORC087_707	QDD87490.1	0.00022	0.0023
CP029457.1	FORC087_707	QDD87490.1	6.5e-149	8e-149
CP029457.1	FORC087_706	QDD87489.1	1.2e-66	6.8e-59
CP029457.1	FORC087_707	QDD87490.1	1.6e-30	2.4e-30
CP029457.1	FORC087_707	QDD87490.1	3.3e-05	0.00025
CP029457.1	FORC087_707	QDD87490.1	8.7e-09	0.00014
CP029457.1	FORC087_707	QDD87490.1	1.6e-33	2.6e-33
CP029457.1	FORC087_707	QDD87490.1	2.9e-36	8e-36
CP029457.1	FORC087_706	QDD87489.1	6.2e-14	6.2e-14
CP029457.1	FORC087_707	QDD87490.1	5e-133	5.6e-133
CP029457.1	FORC087_707	QDD87490.1	1.2e-129	1.5e-129
CP020940.1	B2J90_30240	ARO21683.1	0.11	0.12
CP001179.1	BCAH187_C0067	ACJ82722.1	0.043	0.086
CP001179.1	BCAH187_C0067	ACJ82722.1	0.18	0.46
CP001166.1	BCH308197_A0192	ACI30221.1	0.043	0.086
CP001166.1	BCH308197_A0010	ACI30424.1	0.15	0.2
CP001166.1	BCH308197_A0192	ACI30221.1	0.18	0.46
CP009639.1	AK40_5742	AJI08910.1	0.056	0.11
CP009639.1	AK40_5793	AJI08781.1	0.03	0.039
CP009639.1	AK40_5605	AJI08853.1	0.29	0.36
CP009639.1	AK40_5812	AJI08766.1	0.38	0.57
CP009317.1	AS54_5644	AJG51219.1	0.11	0.12
CP001406.1	BCA_A0178	ACO25728.1	0.11	0.12
CP000228.1	BCQ_PI008	ACM15742.1	0.044	0.1
CP000228.1	BCQ_PI223	ACM15957.1	0.12	0.17
CP000228.1	BCQ_PI218	ACM15952.1	0.24	0.39
CP000228.1	BCQ_PI097	ACM15831.1	0.064	0.085
CP000228.1	BCQ_PI008	ACM15742.1	0.19	0.46
ABDM02000062.1	BC03BB108_B0050	EDX60027.1	0.056	0.11
ABDM02000062.1	BC03BB108_B0104	EDX59856.1	0.03	0.039
ABDM02000062.1	BC03BB108_B0250	EDX59807.1	0.29	0.36
ABDM02000062.1	BC03BB108_B0130	EDX59797.1	0.078	0.12
ABDM02000063.1	BC03BB108_C0189	EDX59773.1	0.13	0.24
ABDM02000063.1	BC03BB108_C0031	EDX59779.1	0.038	0.067
ABDM02000063.1	BC03BB108_C0177	EDX59693.1	0.073	88
ABDM02000063.1	BC03BB108_C0031	EDX59779.1	0.25	0.45
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	4.9e-07	1.4e-05
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	3.5e-12	3.3e-10
ABDM02000065.1	BC03BB108_E0020	EDX59411.1	4.3e-29	4.3e-29
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	6.2e-13	3.4e-11
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	3.1e-64	5.9e-64
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	0.0021	0.0035
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	2.7e-38	3.7e-38
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	4.3e-16	6.4e-16
ABDM02000065.1	BC03BB108_E0020	EDX59411.1	0.0022	0.0075
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	2.6e-09	8.7e-05
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	4.3e-19	5.2e-19
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	3.3e-07	4.5e-07
ABDM02000065.1	BC03BB108_E0020	EDX59411.1	8e-86	2.1e-83
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	4.3e-157	5.2e-157
ABDM02000065.1	BC03BB108_E0021	EDX59441.1	3.5e-07	1.6e-06
